iter	Passed	Remaining
0	1	1294
1	3	1840
2	4	1616
3	6	1506
4	7	1437
5	8	1391
6	9	1361
7	10	1344
8	12	1344
9	14	1395
10	15	1391
11	16	1399
12	18	1392
13	19	1392
14	21	1391
15	22	1394
16	24	1399
17	25	1397
18	28	1446
19	31	1552
20	35	1659
21	37	1669
22	41	1751
23	43	1785
24	45	1769
25	46	1750
26	48	1735
27	49	1725
28	51	1715
29	52	1703
30	54	1693
31	55	1679
32	57	1675
33	59	1688
34	60	1676
35	62	1671
36	63	1660
37	65	1656
38	67	1652
39	68	1643
40	69	1637
41	71	1629
42	72	1622
43	74	1613
44	76	1618
45	77	1609
46	79	1602
47	80	1599
48	81	1591
49	83	1582
50	85	1583
51	88	1617
52	90	1618
53	92	1613
54	93	1607
55	94	1593
56	95	1586
57	97	1579
58	99	1579
59	100	1575
60	102	1570
61	103	1571
62	105	1569
63	107	1565
64	108	1564
65	110	1562
66	111	1559
67	113	1556
68	114	1551
69	116	1549
70	118	1547
71	120	1547
72	121	1543
73	123	1539
74	124	1538
75	126	1534
76	127	1531
77	129	1526
78	131	1528
79	132	1523
80	133	1520
81	135	1520
82	137	1516
83	138	1512
84	140	1507
85	141	1503
86	143	1503
87	145	1507
88	147	1506
89	148	1504
90	150	1502
91	151	1498
92	153	1495
93	154	1493
94	156	1492
95	158	1489
96	159	1486
97	161	1483
98	162	1478
99	164	1476
100	165	1474
101	166	1470
102	168	1466
103	169	1463
104	171	1460
105	172	1457
106	174	1455
107	175	1453
108	177	1450
109	178	1447
110	180	1444
111	183	1453
112	184	1450
113	186	1447
114	187	1443
115	188	1439
116	190	1435
117	191	1432
118	193	1429
119	194	1426
120	196	1424
121	197	1423
122	199	1425
123	201	1423
124	202	1420
125	204	1418
126	205	1415
127	207	1413
128	209	1411
129	210	1408
130	212	1406
131	213	1404
132	215	1402
133	216	1400
134	218	1397
135	219	1396
136	221	1394
137	223	1394
138	224	1391
139	226	1388
140	227	1385
141	230	1392
142	232	1391
143	234	1391
144	235	1389
145	237	1386
146	238	1383
147	240	1382
148	241	1380
149	243	1377
150	244	1374
151	245	1372
152	248	1376
153	253	1390
154	259	1413
155	261	1415
156	263	1414
157	265	1413
158	266	1409
159	267	1406
160	269	1404
161	271	1402
162	272	1400
163	274	1398
164	275	1396
165	277	1395
166	279	1393
167	281	1392
