flightNumber,Date,Starting_IATA_Code,Starting_Location,Destination_IATA_Code,Destination_Location,Carrier
165,01-13-2023,DOH,"Doha,Qatar,Hamad International",JFK,"New York,USA,John F. Kennedy",Qatar Airways
164,01-13-2023,DEL,"New Delhi,India,Indira Gandhi International",DOH,"Doha,Qatar,Hamad International",Qatar Airways
163,12-16-2022,EWR,"Newark,USA,Liberty",DEL,"New Delhi,India,Indira Gandhi International",United Airlines
162,12-16-2022,ORF,"Norfolk,USA,International",EWR,"Newark,USA,Liberty",United Airlines
161,09-14-2022,JFK,"New York,USA,John F. Kennedy",ORF,"Norfolk,USA,International",American Airlines
160,09-14-2022,DEL,"New Delhi,India,Indira Gandhi International",JFK,"New York,USA,John F. Kennedy",American Airlines
159,09-09-2022,HYD,"Hyderabad,India,International (Rajiv Gandhi)",DEL,"New Delhi,India,Indira Gandhi International",GoAir
158,07-14-2022,DEL,"New Delhi,India,Indira Gandhi International",HYD,"Hyderabad,India,International (Rajiv Gandhi)",Vistara
157,07-13-2022,YYZ,"Toronto,Canada,Lester B Pearson Intl.",DEL,"New Delhi,India,Indira Gandhi International",Air India
156,05-30-2022,LGW,"London,United Kingdom,Gatwick",YYZ,"Toronto,Canada,Lester B Pearson Intl.",Westjet Airlines
155,05-24-2022,DUB,"Dublin,Ireland,International",LPL,"Liverpool,United Kingdom,John Lennon",Ryanair
154,05-22-2022,LGW,"London,United Kingdom,Gatwick",DUB,"Dublin,Ireland,International",Aer Lingus
153,05-18-2022,YYZ,"Toronto,Canada,Lester B Pearson Intl.",LGW,"London,United Kingdom,Gatwick",Air Transat
152,2022,MEX,"Mexico City,Mexico,Internacional Benito Juárez",YYZ,"Toronto,Canada,Lester B Pearson Intl.",Air Canada
151,2022,YYZ,"Toronto,Canada,Lester B Pearson Intl.",MEX,"Mexico City,Mexico,Internacional Benito Juárez",Aeromexico
150,2022,YUL,"Montreal,Canada,Pierre Elliott Trudeau/Dorval",YYZ,"Toronto,Canada,Lester B Pearson Intl.",Air Canada
149,2022,DEL,"New Delhi,India,Indira Gandhi International",YUL,"Montreal,Canada,Pierre Elliott Trudeau/Dorval",Air Canada
148,2022,DBR,"Darbhanga,India",DEL,"New Delhi,India,Indira Gandhi International",SpiceJet
147,2022,BLR,"Bangalore,India,Kempegowda International",DBR,"Darbhanga, India",SpiceJet
146,2021,DEL,"New Delhi,India,Indira Gandhi International",BLR,"Bangalore,India,Kempegowda International",Air India
145,2021,YYZ,"Toronto,Canada,Lester B Pearson Intl.",DEL,"New Delhi,India,Indira Gandhi International",Air Canada
144,2021,DOH,"Doha,Qatar,Hamad International",YYZ,"Toronto,Canada,Lester B Pearson Intl.",Air Canada
143,2021,MLE,"Male,Maldives",DOH,"Doha,Qatar,Hamad International",Qatar Airways
142,2021,BLR,"Bangalore,India,Kempegowda International",MLE,"Male,Maldives",IndiGo
141,2021,DEL,"New Delhi,India,Indira Gandhi International",BLR,"Bangalore,India,Kempegowda International",Air India
140,2021,BLR,"Bangalore,India,Kempegowda International",DEL,"New Delhi,India,Indira Gandhi International",IndiGo
139,2021,DBR,"Darbhanga,India",BLR,"Bangalore,India,Kempegowda International",SpiceJet
138,2021,BLR,"Bangalore,India,Kempegowda International",DBR,"Darbhanga, India",SpiceJet
137,2021,GOI,"Goa,India,Dabolim",BLR,"Bangalore,India,Kempegowda International",IndiGo
136,2021,BLR,"Bangalore,India,Kempegowda International",GOI,"Goa,India,Dabolim",IndiGo
135,2021,DEL,"New Delhi,India,Indira Gandhi International",BLR,"Bangalore,India,Kempegowda International",IndiGo
134,2021,YYZ,"Toronto,Canada,Lester B Pearson Intl.",DEL,"New Delhi,India,Indira Gandhi International",Air India
133,2020,DEL,"New Delhi,India,Indira Gandhi International",YYZ,"Toronto,Canada,Lester B Pearson Intl.",Air Canada
132,2020,UDR,"Udaipur,India",DEL,"New Delhi,India,Indira Gandhi International",Air India
131,2020,DEL,"New Delhi,India,Indira Gandhi International",UDR,"Udaipur,India",IndiGo
130,2020,BLR,"Bangalore,India,Kempegowda International",DEL,"New Delhi,India,Indira Gandhi International",Air India
129,2020,DEL,"New Delhi,India,Indira Gandhi International",BLR,"Bangalore,India,Kempegowda International",Air India
128,2020,YYZ,"Toronto,Canada,Lester B Pearson Intl.",DEL,"New Delhi,India,Indira Gandhi International",Air India
127,2020,HKG,"Hong Kong,China,International",YYZ,"Toronto,Canada,Lester B Pearson Intl.",Cathay Pacific
126,2020,DEL,"New Delhi,India,Indira Gandhi International",HKG,"Hong Kong,China,International",Cathay Pacific
